*1	#BAXTIYAR #QAY JERDE?
*2	Baxtıyar *va Aygúl baǵda. Búgin *ob-hawa jaqsı, hawa júdá jıllı. *Ammo keshe júdá suwıq *edi! Olar *o’*ynay *olishmadi. Baxtıyar *va Aygúl #oyna jaqsı #soqır, olar #hár #mudam úlken #háwli #aldı baǵda birge *o’*ynashadi.
3	Baxtıyar kishkene bala *va ol altı *yoshda. Kishkene qız onıń *singlisi, ol bes *yoshda. Baxtıyardıń kishkene *kuchugi #bar, #kushık hám házir baǵda. #Kushık bul eki *bolakaylar #menen #oyna jaqsı #soqır. #Kushık házir júdá *hursand.
4	Aygúldiń hám *kuchugi *bormi? Joq, Aygúlde #kushık joq, onda pıshıq #bar. *Ammo, pıshıq úyde, pıshıq *uxlayapti.
5	Olardıń anası pıshıq #menen úyde, ol aynadan qaraydı *va Baxtıyar #menen Aygúldiń *o’*ynayotganini #soqır. Baxtıyar *ulkan eski terek #aldı júgirip baradı, ol Aygúlden *bekinyapti. Bilesizlir ma nege? Aygúl *o’*tiryapti *va qolı #menen kózin *bekityapti. Ol hesh neni *ko’*rolmaydi *va ol sanamaqta. Nege ol #bunday qıladı? *Va Baxtıyar terekti *yonida ne *qilyapti?
6	Bul oyın. Aygúl #sana *tugatgandan *so’*ng ol átirapqa qaraydı. Ol Baxtıyardı *qidiryapti: Ol #qay jerge ketti? Onı #soqır ma?
*7	Aygúl Baxtıyar *qayerdaligini bilmeydi. Ol #kushık soraydı: "#Sen Baxtıyardı #soqır ma?". *Ammo #kushık *gapira almaydı álbette! Usınıń ushın Aygúl sorawına hesh *qanday juwap almaydı. #Odam *kuchukga *gapirishganda hesh *qachon juwap *olishmaydi!
8	Aygúl ayna arqasındaǵı anasına qaraydı, onıń anası *kulyapti. Aygúl onı Baxtıyardı #qay jerge ketkenin #soqır dep oylaydı: "Onıń *qayerdaligini aytıńlar!", dedi ol anasına. "Joq Aygúl, men *senga *ayta almayman!", anası juwap *beradi. Ol #bálkim onıń *qayerdaligini *bilsada, ol *aytgisi *kelmayapti.
*9	Aygúl baǵdan #áste júredi. Ol *haliyam Baxtıyardı #tap háreket *qilyapti. Ol stoldıń *tagini *va stullardıń *tagini qaradı, *ammo Baxtıyar ol *yerda emes. Ol hámme jaydı qıdırıp shıqtı, *ammo ol Baxtıyardı *topa almadı.
*10	Keyin ol bir dawıs esitti, ol *ulkan eski terekti *yonidan *kelayapdi. Ol Baxtıyar #bolıw *mumkinmi? #Jáne dawıs #bar! Ol #dıqqat #menen tıńladı. Ol qus *yoki *boshqa haywan emes. Endi ol onı jaqsı *eshityapti. Ol Baxtıyar #bol kerek!
*11	Keyin ol kishkene qoldı hám #soqır *va ol *yaqinlashganda onıń basın hám #soqır! Ol kúledi *va aytadı: "Men *seni taptım!". Olardı #eki hám baxtıyar *va olar úyge *kirishdi, endi *biron zat *yeyish *va suw #ish waqıtı/waqtı!
