*1	#BAXTIYAR #QAY JERDE?
*2	#Baxtıyar *va *Oygul *bog'*da. Búgin *ob-hawa jaqsı, hawa júdá jıllı. *Ammo keshe júdá suwıq *edi! Olar *o'*ynay *olishmadi. #Baxtıyar *va *Oygul *o'*ynashni jaqsı *ko'*radilar, olar #hár #mudam úlken #háwli #aldı *bog'*da birge *o'*ynashadi.
3	#Baxtıyar kishkene bala *va ol altı *yoshda. Kishkene qız onıń *singlisi, ol bes *yoshda. #Baxtıyar kishkene *kuchugi #bar, kushık hám házir *bog'*da. Kushık bul eki *bolakaylar #menen *o'*ynashni jaqsı *ko'#biykarlaw. Kushık házir júdá *hursand.
4	*Oygulning hám *kuchugi *bormi? *Yo'*q, *Oygulda kushık *yo'*q, onda pıshıq #bar. *Ammo, pıshıq úyde, pıshıq *uxlayapti.
5	Olardıń anası pıshıq #menen úyde, ol aynadan qaraydı *va #Baxtıyar #menen *Oygulning *o'*ynayotganini *ko'#biykarlaw. #Baxtıyar *ulkan eski terek #aldı júgirip baradı, ol *Oyguldan *bekinyapti. Bilesizlir ma nege? *Oygul *o'*tiryapti *va *qo'*li #menen *ko'*zini *bekityapti. Ol hesh neni *ko'*rolmaydi *va ol sanamaqta. Nege ol #bunday qıladı? *Va #Baxtıyar terekti *yonida ne *qilyapti?
6	Bul *o'*yin. *Oygul #sana *tugatgandan *so'*ng ol átirapqa qaraydı. Ol #Baxtıyar *qidiryapti: Ol #qay jerge ketti? Onı *ko'*rdingizmi?
*7	*Oygul #Baxtıyar *qayerdaligini bilmeydi. Ol kushıkten *so'*raydi: "#Sen #Baxtıyar *ko'*rdingmi?". *Ammo kushık *gapira almaydı álbette! Usınıń ushın *Oygul sorawına hesh *qanday juwap almaydı. #Odam *kuchukga *gapirishganda hesh *qachon juwap *olishmaydi!
8	*Oygul ayna arqasındaǵı anasına qaraydı, onıń anası *kulyapti. *Oygul onı #Baxtıyar #qay jerge ketkenin *ko'*rdi dep *o'*ylaydi: "Onıń *qayerdaligini aytıńlar!", dedi ol anasına. "*Yo'*q *Oygul, men *senga *ayta almayman!", anası juwap *beradi. Ol #bálkim onıń *qayerdaligini *bilsada, ol *aytgisi *kelmayapti.
*9	*Oygul *bog'*dan #áste júredi. Ol *haliyam #Baxtıyar #tap háreket *qilyapti. Ol stoldıń *tagini *va stullardıń *tagini qaradı, *ammo #Baxtıyar ol *yerda emes. Ol hámme jaydı qıdırıp shıqtı, *ammo ol #Baxtıyar *topa almadı.
*10	Keyin ol bir dawıs esitti, ol *ulkan eski terekti *yonidan *kelayapdi. Ol #Baxtıyar *bo'*lishi *mumkinmi? Jáne dawıs #bar! Ol #dıqqat #menen tıńladı. Ol qus *yoki *boshqa haywan emes. Endi ol onı jaqsı *eshityapti. Ol #Baxtıyar *bo'*lsa kerek!
*11	Keyin ol kishkene *qo'*lni hám *ko'#biykarlaw *va ol *yaqinlashganda onıń basın hám *ko'#biykarlaw! Ol kúledi *va aytadı: "Men *seni taptım!". Olardı #eki hám #baxtıyar *va olar úyge *kirishdi, endi *biron zat *yeyish *va suw #ish waqıtı!
